ID|pattern|source
1|"Kotikova Croptop"|youtube
2|"Berlin Soft"|ravelry
3|"Mistake Braid"|ravelry
4|"Intermingle"|ravelry
5|"Cuddle Me Elephant"|ravelry
6|"217aw-04 Back Slit Sweater"|gosyo.co.jp
7|"Elsa"|ravelry
8|"Turtleneck Sweater (Dollfie Dream, Smart Doll)"|insomnimaniacs.wordpress
9|"Plaidypus"|myself
10|"How to Knit an Entrelac Tam"|missing
11|"Captain America Knit Hoodie"|ravelry
12|"Gwynedd"|knitty
13|"Zopf"|ravelry
14|"Magikarp Hat Crochet Pattern"|ravelry
15|"Harry Styles Inspired Cardigan"|myself
16|"Blueberry Waffle Socks"|web.archive.org
17|"Cartoon Octopus Plush"|myself
18|"Adult Mermaid Afghan"|youtube
19|"Mushroom Friend"|acquaintence
20|"Entrelac Dice Bag"|myself
21|"Easy Goes It"|ravelry
22|"Make Your Own Sackboy"|youtube
23|"Granny Square Croptop"|myself
24|"Voltron Keith Jacket"|youtube
25|"Link Hat"|berrieslafontaine.com
